Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
26.09.2017,Corso 7,7,HV,20:30,20:48,21:33,21:45,22:56,23:00,2D,LOGAN LUCKY,12,,,,
26.09.2017,Corso 3,3,HV,20:30,20:48,21:50,22:02,23:15,23:21,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
26.09.2017,Corso 4,4,HV,20:45,21:03,21:46,21:58,22:49,22:56,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,
26.09.2017,Corso 6,6,HV,20:45,21:04,21:57,22:09,23:00,23:06,2D,ANNABELLE 2,16,,,,

27.09.2017,Corso 3,3,N1,14:00,14:15,15:17,15:29,16:42,16:48,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:16,17:15,2D,KINGSMAN: THE GOLDEN CIRCLE
27.09.2017,Corso 8,8,N1,14:00,14:14,14:51,15:03,16:18,16:25,2D,KILLER'S BODYGUARD,16,00:24,17:00,2D,BABY DRIVER
27.09.2017,Corso 2,2,N1,14:15,14:31,15:02,15:14,16:15,16:25,3D,"THE LEGO NINJAGO MOVIE ",6,00:24,17:00,3D,"THE LEGO NINJAGO MOVIE "
27.09.2017,Corso 5,5,N1,14:15,14:34,15:15,15:27,16:32,16:41,2D,BARRY SEAL: ONLY IN AMERICA,12,00:23,17:15,2D,BARRY SEAL: ONLY IN AMERICA
27.09.2017,Corso 1,1,N1,14:30,14:45,15:38,15:50,16:20,16:29,3D,"EMOJI: DER FILM ",6,00:50,17:30,2D,BABY DRIVER
27.09.2017,Corso 6,6,N1,14:30,14:47,15:25,15:37,16:26,16:31,3D,"BIGFOOT JUNIOR ",6,00:48,17:30,2D,ANNABELLE 2
27.09.2017,Corso 7,7,N1,14:45,15:01,15:54,16:06,16:35,16:44,3D,"ICH - EINFACH UNVERBESSERLICH 3 ",6,00:50,17:45,2D,HEREINSPAZIERT!
27.09.2017,Corso 4,4,N1,14:45,14:58,15:51,16:03,16:37,16:50,2D,BULLYPARADE - DER FILM,6,00:44,17:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
27.09.2017,Corso 8,8,N2,17:00,17:14,18:02,18:14,19:15,19:19,2D,BABY DRIVER,16,00:45,20:15,2D,KILLER'S BODYGUARD
27.09.2017,Corso 2,2,N2,17:00,17:16,17:47,17:59,19:00,19:10,3D,"THE LEGO NINJAGO MOVIE ",6,00:39,20:00,2D,BARRY SEAL: ONLY IN AMERICA
27.09.2017,Corso 5,5,N2,17:15,17:34,18:15,18:27,19:32,19:41,2D,BARRY SEAL: ONLY IN AMERICA,12,00:08,20:00,3D,"THE LEGO NINJAGO MOVIE "
27.09.2017,Corso 3,3,N2,17:15,17:30,18:32,18:44,19:57,20:03,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:16,20:30,2D,KINGSMAN: THE GOLDEN CIRCLE
27.09.2017,Corso 6,6,N2,17:30,17:46,18:39,18:51,19:42,19:48,2D,ANNABELLE 2,16,00:46,20:45,2D,ANNABELLE 2
27.09.2017,Corso 1,1,N2,17:30,17:44,18:32,18:45,19:45,19:49,2D,BABY DRIVER,16,00:15,20:15,2D,THE CIRCLE
27.09.2017,Corso 7,7,N2,17:45,18:00,18:49,19:01,19:40,19:45,2D,HEREINSPAZIERT!,6,00:34,20:30,2D,LOGAN LUCKY
27.09.2017,Corso 4,4,N2,17:45,18:01,18:43,18:56,19:46,19:54,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,00:41,20:45,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
27.09.2017,Corso 2,2,HV,20:00,20:22,21:03,21:15,22:20,22:30,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
27.09.2017,Corso 5,5,HV,20:00,20:18,20:50,21:02,22:03,22:12,3D,"THE LEGO NINJAGO MOVIE ",6,,,,
27.09.2017,Corso 8,8,HV,20:15,20:32,21:09,21:21,22:36,22:43,2D,KILLER'S BODYGUARD,16,,,,
27.09.2017,Corso 1,1,HV,20:15,20:32,21:13,21:25,22:25,22:34,2D,THE CIRCLE,12,,,,
27.09.2017,Corso 3,3,HV,20:30,20:48,21:50,22:02,23:15,23:21,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
27.09.2017,Corso 7,7,HV,20:30,20:48,21:33,21:45,22:56,23:00,2D,LOGAN LUCKY,12,,,,
27.09.2017,Corso 4,4,HV,20:45,21:03,21:46,21:58,22:49,22:56,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,
27.09.2017,Corso 6,6,HV,20:45,21:04,21:57,22:09,23:00,23:06,2D,ANNABELLE 2,16,,,,

