Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
17.10.2017,Gotthard 6,6,N1,14:00,14:15,14:54,15:06,15:55,16:00,3D,"BIGFOOT JUNIOR ",6,01:05,17:15,2D,FLITZER
17.10.2017,Gotthard 8,8,N1,14:15,14:27,15:08,15:20,16:14,16:18,2D,FLITZER,12,00:31,17:00,2D,KINGSMAN: THE GOLDEN CIRCLE
17.10.2017,Gotthard 1,1,N1,14:15,14:30,15:05,15:17,16:05,16:13,3D,"EMOJI: DER FILM ",6,00:51,17:15,3D,"CARS 3 - EVOLUTION "
17.10.2017,Gotthard 7,7,N1,14:30,14:48,15:31,15:43,16:32,16:42,3D,"THE LEGO NINJAGO MOVIE ",6,00:37,17:30,2D,KILLER'S BODYGUARD
17.10.2017,Gotthard 3,3,N1,14:30,14:45,15:42,15:54,16:29,16:38,2D,MY LITTLE PONY - DER FILM,4,00:41,17:30,2D,AMERICAN ASSASSIN
17.10.2017,Gotthard 4,4,N1,14:45,15:01,15:45,15:57,16:52,17:02,2D,BORG/MCENROE,6,00:17,17:30,2D,BORG/MCENROE
17.10.2017,Gotthard 5,5,N1,15:00,15:13,16:15,16:27,17:58,18:09,3D,"BLADE RUNNER 2049 ",14,01:10,19:30,3D,"BLADE RUNNER 2049 "
17.10.2017,Gotthard 2,2,N2,17:00,17:18,18:21,18:33,19:38,19:45,2D,ES,16,00:19,20:15,2D,ES
17.10.2017,Gotthard 8,8,N2,17:00,17:15,18:06,18:18,19:42,19:48,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:16,20:15,2D,KINGSMAN: THE GOLDEN CIRCLE
17.10.2017,Gotthard 1,1,N2,17:15,17:31,18:34,18:46,19:24,19:32,3D,"CARS 3 - EVOLUTION ",6,00:17,20:00,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
17.10.2017,Gotthard 6,6,N2,17:15,17:27,18:08,18:20,19:14,19:18,2D,FLITZER,12,00:31,20:00,2D,FLITZER
17.10.2017,Gotthard 3,3,N2,17:30,17:49,18:30,18:42,19:45,19:53,2D,AMERICAN ASSASSIN,16,00:41,20:45,2D,AMERICAN ASSASSIN
17.10.2017,Gotthard 4,4,N2,17:30,17:46,18:30,18:42,19:37,19:47,2D,BORG/MCENROE,6,00:32,20:30,2D,BORG/MCENROE
17.10.2017,Gotthard 7,7,N2,17:30,17:47,18:24,18:36,19:51,19:58,2D,KILLER'S BODYGUARD,16,00:21,20:30,2D,BARRY SEAL: ONLY IN AMERICA
17.10.2017,Gotthard 5,5,HV,19:30,19:43,20:45,20:57,22:28,22:39,3D,"BLADE RUNNER 2049 ",14,,,,
17.10.2017,Gotthard 1,1,HV,20:00,20:17,21:00,21:12,22:02,22:10,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,
17.10.2017,Gotthard 6,6,HV,20:00,20:15,20:56,21:07,22:01,22:05,2D,FLITZER,12,,,,
